,Comment,Likes,Time,UserLink,user
0,"hehehe, asli ini iklan the best bgt,  ngalahin yg di thailand yg katanya keren keren itu,",83,2 months ago,/channel/UCiAR7WiU3vsCIRg0o6VR9sg,Fakta Sejarah
1,Ini yg bikin skenario dan kata-katanya siapa sih ? Hebat. Bikin saya senyum2 sendiri. Soalnya ngalamin juga nunggu paket kayak nunggu hadiah padahal beli . Ditambah lagi Ariel yg main duhh..jadi makin cinta . Bikin serries nya dong tapi harus Ariel yg main.,350,2 months ago,/channel/UCLCB28uO8psroD0aBgK6lSA,Flowlea
2,Sumpah iklan nya keren bgt. Selalu suka kalo Ariel lagi ngomong. 😍,152,2 months ago,/channel/UC6sBEqP_Gm48jMIXt0KcnqA,Dina Agita
3,"Dalam hal apapun Boriel selalu memberikan yang terbaik agar dapat dinikmati oleh semua orang, keren, sangat menginspirasi dan memperhatikan kualitas dari produk atau seni yg dia kerjakan",47,2 months ago,/channel/UCBRyIhRUzRv7PEv2LcA_TaA,Hilyaa 3393
4,"cinematic dapet, comedy dapet, punch line dapet, goal iklan dapet....mantep banget konsepnya..sangat relate dan cocok dengan selera humor Indonesia...dua jempol dah..btw boleh tau siapa director nya ya?",77,2 months ago,/channel/UCrwqvGrfJzp1Jcc0UvL85HQ,Ibnu Chep
5,"Keren banget iklannya,apalagi suara bang Ariel bikin hati adem",97,2 months ago,/channel/UCyoagCLF5FMTARIbP5QxwRg,Sur Yani
6,"dari iklan ini, jadi bisa liat sisi lain dari kang boriel nih, dia tuh cocok banget kalau acting, pasti bakal trending nih iklan, kang boriel memang legend, kalau ini tayang di tv makin viral",190,2 months ago (edited),/channel/UCty_9t_Alc0txye1O6UDAzQ,Khrisna Reza Fauzi
7,keren jirrr narasi dari bbrapa potongan lirik lagu dibalut dengan komedi dan akting yg mantap iklan nya jd membuat senyum senyum sendiri,152,2 months ago,/channel/UCPIfUZe4uoj_tqK2q2gk6Mw,fajar gustian
8,"Otak tim kreatif Gojek ni emang beda .. 
Makin senang jadi Driver Gosend ni wkwk",147,2 months ago,/channel/UChQK_An9Sx20rP6vWyCyXmg,Sigit Pria Atmaja
9,"Gilaakk pak bor profesional kerja nya ,gak cuma di lagu yg bener2 dipikirin kualitas suara + sound nya ,di iklan juga dipikirin sampe se detail sejernih ini 🔥 edan lah",60,2 months ago,/channel/UCMhMZ0or2rbsN-pGoKkOwqA,Denis Radhanta
10,"Ya Allah bang boriel bisa kocak begini, lucuuuuu😁",170,2 months ago,/channel/UC83egd8aCaevidB8p5pkbSA,Arihana Khairunisa
11,top buat gosend pinter cari talent 😀 tim creative mantaap,39,2 months ago (edited),/channel/UCRIQXH2F8hW61N3QHdCBrmA,Muchlis Ali Hakim
