,text_clean,text_preprocessed,Polarity
0,hehehe asli ini iklan the best bgt  ngalahin yg di thailand yg katanya keren keren itu,"['hehehe', 'asli', 'iklan', 'the', 'best', 'bgt', 'ngalahin', 'yg', 'thailand', 'yg', 'keren', 'keren']",Positif
1,ini yg bikin skenario dan katakatanya siapa sih  hebat bikin saya senyum sendiri soalnya ngalamin juga nunggu paket kayak nunggu hadiah padahal beli  ditambah lagi ariel yg main duhhjadi makin cinta  bikin serries nya dong tapi harus ariel yg main,"['yg', 'bikin', 'skenario', 'katakatanya', 'sih', 'hebat', 'bikin', 'senyum', 'ngalamin', 'nunggu', 'paket', 'kayak', 'nunggu', 'hadiah', 'beli', 'tambah', 'ariel', 'yg', 'main', 'duhhjadi', 'cinta', 'bikin', 'serries', 'nya', 'ariel', 'yg', 'main']",Positif
2,sumpah iklan nya keren bgt selalu suka kalo ariel lagi ngomong,"['sumpah', 'iklan', 'nya', 'keren', 'bgt', 'suka', 'kalo', 'ariel', 'ngomong']",Positif
3,dalam hal apapun boriel selalu memberikan yang terbaik agar dapat dinikmati oleh semua orang keren sangat menginspirasi dan memperhatikan kualitas dari produk atau seni yg dia kerjakan,"['apa', 'boriel', 'baik', 'nikmat', 'orang', 'keren', 'inspirasi', 'perhati', 'kualitas', 'produk', 'seni', 'yg', 'kerja']",Positif
4,cinematic dapet comedy dapet punch line dapet goal iklan dapetmantep banget konsepnyasangat relate dan cocok dengan selera humor indonesiadua jempol dahbtw boleh tau siapa director nya ya,"['cinematic', 'dapet', 'comedy', 'dapet', 'punch', 'line', 'dapet', 'goal', 'iklan', 'dapetmantep', 'banget', 'konsepnyasangat', 'relate', 'cocok', 'selera', 'humor', 'indonesiadua', 'jempol', 'dahbtw', 'tau', 'director', 'nya', 'ya']",Positif
5,keren banget iklannyaapalagi suara bang ariel bikin hati adem,"['keren', 'banget', 'iklannyaapalagi', 'suara', 'bang', 'ariel', 'bikin', 'hati', 'adem']",Positif
6,dari iklan ini jadi bisa liat sisi lain dari kang boriel nih dia tuh cocok banget kalau acting pasti bakal trending nih iklan kang boriel memang legend kalau ini tayang di tv makin viral,"['iklan', 'liat', 'sisi', 'kang', 'boriel', 'nih', 'tuh', 'cocok', 'banget', 'acting', 'trending', 'nih', 'iklan', 'kang', 'boriel', 'legend', 'tayang', 'tv', 'viral']",Positif
7,keren jirrr narasi dari bbrapa potongan lirik lagu dibalut dengan komedi dan akting yg mantap iklan nya jd membuat senyum senyum sendiri,"['keren', 'jirrr', 'narasi', 'bbrapa', 'potong', 'lirik', 'lagu', 'balut', 'komedi', 'akting', 'yg', 'mantap', 'iklan', 'nya', 'jd', 'senyum', 'senyum']",Positif
8,otak tim kreatif gojek ni emang beda   makin senang jadi driver gosend ni wkwk,"['otak', 'tim', 'kreatif', 'gojek', 'ni', 'emang', 'beda', 'senang', 'driver', 'gosend', 'ni', 'wkwk']",Positif
9,gilaakk pak bor profesional kerja nya gak cuma di lagu yg bener dipikirin kualitas suara  sound nya di iklan juga dipikirin sampe se detail sejernih ini  edan lah,"['gilaakk', 'bor', 'profesional', 'kerja', 'nya', 'gak', 'lagu', 'yg', 'bener', 'dipikirin', 'kualitas', 'suara', 'sound', 'nya', 'iklan', 'dipikirin', 'sampe', 'detail', 'jernih', 'edan']",Positif
10,ya allah bang boriel bisa kocak begini lucuuuuu,"['ya', 'allah', 'bang', 'boriel', 'kocak', 'lucuuuuu']",Positif
11,top buat gosend pinter cari talent  tim creative mantaap,"['top', 'gosend', 'pinter', 'cari', 'talent', 'tim', 'creative', 'mantaap']",Positif
12,good job gosend x ariel creative genius iklan ini sangat menghibur,"['good', 'job', 'gosend', 'x', 'ariel', 'creative', 'genius', 'iklan', 'hibur']",Positif
13,lucu ya allahsenyum sendiri lihatnya natural sekali akting bang ariel,"['lucu', 'ya', 'allahsenyum', 'lihat', 'natural', 'akting', 'bang', 'ariel']",Positif
14,ketawa ketawa sendiri jadi nya mang sampe di ulang ulang  emang keren bang boril,"['ketawa', 'ketawa', 'nya', 'mang', 'sampe', 'ulang', 'ulang', 'emang', 'keren', 'bang', 'boril']",Positif
15,paket komplit yaak dari model iklan yg jadi naratornya sampe ngisi lagu backsoundnyaterbaikkk bang boriel  emot love,"['paket', 'komplit', 'yaak', 'model', 'iklan', 'yg', 'narator', 'sampe', 'ngisi', 'lagu', 'backsoundnyaterbaikkk', 'bang', 'boriel', 'emot', 'love']",Positif
16,berharap ada behind the scene krn pasti dikerjakan dg luar biasa,"['harap', 'behind', 'the', 'scene', 'krn', 'dg']",Negatif
